Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
How many different financial options do you have available 	I do not know how many different financial options we have available 	A31A4YKVSOYRVS	
How do I make a reservation for a class	I do not know how you make a reservation for a class 	A3SS1F4F3JE7CU
When will my order ship 	I do not know when your order ship 	AE9M4Z1NCYSDM	
Are group discounts available 	I do not know if group discounts are available 	A2HKTM4Z8652
If i order today , when can I expect my order to be guaranteed to be delivered 	I do not know when you can expect your order 	A1YKWG46AWMPUX	
What is AgFunder 	I do not know what AgFunder is 	A8O98QNRG9SHV
how often do new items get released 	I do not know how often new items get released 	A31A4YKVSOYRVS	
When does an employer have to comply with the Affordable Care Act 's Form W-2 health care reporting requirement 	I do not know when 	A1DWQO9X2ZQ35G
Where are the butterflies 	I do not know where the butterflies are 	APC99TPURUHR8
How much does it cost to get my dog spayed 	I do not know how much it costs to get your dog spayed 	AE9M4Z1NCYSDM	
What can I call my company 	I do not know what you can call your company 	A1S8DYWNS59XWB
How to reach the museum 	I do not know how to reach the museum 	A7SXWHGK8B40R
Can I do work experience at Chester Zoo 	I do not know if you can do work experience at Chester Zoo 	A9LX66EQWDRQ5
Can we bring in a picnic lunch 	I do not know if you can bring in a picnic lunch 	A3I9FTHSULHPYS
Can I have leather seats installed in this vehicle 	I do not know if you can have leather seats installed in this vehicle 	A9LX66EQWDRQ5	
Can you check on my account for me 	I am not able to check on your account for you 	AE9M4Z1NCYSDM	
If I bought this item at one store location , can I return it at another 	I do not know if you can return this item at another store location 	A3GNQDFPZALU92	
How do I get a copy of my maintenance contract or a list of machines covered under maintenance or warranty 	I do not know how you get a copy of your maintenance contract or a list of machines covered under maintenance or warranty 	A1S8DYWNS59XWB
How do I arrange for a group of adults or students to visit 	I do not know how to arrange for a group of adults or students to visit 	A2K9PB0U45O0MU
When is the Museum closed 	I do not know when the musuem is closed 	A13GUTDMGGZZDL
I have a disability , how can I participate in the testing process 	I do not know how you can participate in the testing process 	A2K2MFQMN31DZ
How can I find information on your intern program 	I do not know how you can find information on our intern program 	A3RD486RQUI2XV
How much do I have left to pay for my new phone 	I do not know how much you have left to pay for your new phone 	A3GNQDFPZALU92	
How do I add an additional appointment located at a different campus 	I do not know how to add an additional appointment located at a different campus 	A3NZLRU95OULXB
Do you offer membership options 	I do not know if we offer memebership options 	A1J0GU26323WVA
Could you help me find a prom dress for my daughter 	I am not able to help you find a prom dress for your daughter 	A3VV5FFG6GXE1S	
Do we still have affirmative action goals 	I do not know if you still have affirmative action goals 	A325WS381BHOHH
Why was my visa application rejected even though a Certificate of Eligibility was issued 	I do not know why your visa application was rejected even though a Certificate of Eligibility was issued 	A16VTK6KZ1U69H
How can I complain about poor medical care I received in a hospital 	I do not know how you can complain about poor medical care you received in a hospital 	A2TP3K1THK6XRB
What are Reporter 's Transcript Deposit Costs 	I do not know what this is 	A2NI2HSU84PHJW
Can I bring a stroller in the Museum 	I do not know if you can bring a stroller in the Museum	A3NHJPE6326P9V
Can I rent a stroller 	I do not know if you can rent a stroller 	A1JBSFXMMRGSQD
Can you tell me about any promotional plans you offer	I am not able to tell you about any promotional plans we offer 	A1JBSFXMMRGSQD
Can I plan an educational visit for my school class or home school group 	I do not know if you can plan an educational visit for your school class or home school group	A23CTGXNDDW5LC
Who determines when a position is properly designated as security/safety sensitive and/or CAAL-covered 	I do not know who determines when a position is properly designated as security/safety sensitive and/or CAAL-covered 	A2K2MFQMN31DZ
Can I purchase a photograph of an object in the Museum collection 	I do not know if you purchase a photograph of an object in the Museum collection 	A18KR781AUQBA6
How do I hold a special event at one of the Carnegie Museums of Pittsburgh 	I do not know how you can hold a special event at one of the Carnegie Museums of Pittsburgh 	A1XNCA1SVTT15B
How often do large whales calve 	I do not know how often large whales calve 	A2NI2HSU84PHJW
What kind of fabric do you offer for outdoor cushions 	I do not know what kind of fabric we offer for outdoor cushions 	A31A4YKVSOYRVS	
How is the diameter of Lodge cookware determined 	I do not know how the diameter of Lodge cook ware is determined 	A2K9PB0U45O0MU
What happens if my card is lost or stolen 	I do not know what happens if your card is lost or stolen 	A3CL6GEDFNQGQY
How much recovery time is needed after the lasik eye surgery 	I do not know how much recovery time is needed after the lasik eye surgery 	A31A4YKVSOYRVS	
Can I lose weight with this product 	I do not know if you can lose weight with this product	A23CTGXNDDW5LC
Is there an account manager I can speak to 	I do not know if there is an account manager you can speak to 	ASFR82SJYMGNU
Can you cancel my shipment 	I am not able to cancel your shipment 	A1YKWG46AWMPUX	
Can I check my account balance 	I do not know if you can check your account balance 	AD9O852KPYLHY	
What is the Berlin Document Center 	I do not know what the Berlin Document Center is 	A1JQZLDXTQ99VL
Will we have to wait	I do not know if you will have to wait 	A1J0GU26323WVA
Does FIT offer tuition reimbursement for other SUNY colleges 	I do not know if FIT offers tuition reimbursement for other SUNY colleges 	A2NI2HSU84PHJW
Is it easy to learn	I do not know if it is easy to learn 	A298FAWY76NZA9
Can we build our own HR reports 	I do not know if you can build your own HR reports 	A3G2FBKYCRD5Q8
Do you have any sulfate-free shampoos 	I do not know if we have any sulfate-free shampoos 	AE9M4Z1NCYSDM	
Why should you book Bucket Fillers , Inc. for a presentation 	I do not know why we should book Bucket Fillers , Inc. for a presentation 	A2VIKCIM9TZL22
Am I using my Voice plan 's minutes when I access the Mobile Web 	I do not know if you use your voice plan 's minutes when you access the mobile web 	A8O98QNRG9SHV
I forgot to pack something . Where can I purchase essential items 	I do not know where you can purchase essential items 	A3VSBRD9GN89I2
Where may I nurse my child 	I do not know where you may nurse your child 	A3SS1F4F3JE7CU
When are applications due 	I do not know when applications are due 	A3NZLRU95OULXB
Can you help me pick between product A and product B 	I am not able to help you pick 	A1YKWG46AWMPUX	
How do I upgrade my room 	I do not know how you can upgrade your room 	A2VIKCIM9TZL22
What is the Museum 's cancellation policy for events 	I do not know the Museum 's cancellation policy for events 	A7SXWHGK8B40R
How much does it cost to rent this car for one day 	I do not know how much it costs to rent this car for one day 	A9LX66EQWDRQ5	
Just how much ground coffee do I need for x amount of coffee 	I do not know how much ground coffee do you need for x amount of coffee 	A3SS1F4F3JE7CU
Why was I charged sales tax on my order when I should be tax exempt 	I do not know why you were chared sales tax 	A2K2MFQMN31DZ
Why are some images so blurry 	I do not know why some images are so blurry 	A3U6CLX7HD0SMF
Is it possible to arrange a guided group visit to the Anne Frank House 	I do not know if it is possible to arrange a guided group visit 	A325WS381BHOHH
Where do I get the UT Austin Selective Service Eligibility and Verification Form 	I do not know where you get the UT Austin Selective Service Eligibility and Verification Form 	A3RD486RQUI2XV
Is that a bargain	I do not know if that is a bargain 	A113OGTB578EF6	
What if we need to cancel 	I am not able to cancel 	A3RKYD8IUC5S0N
Can I ship international with you 	I do not know if you can ship international 	AD9O852KPYLHY	
Can I make a post sale adjustment 	I do not know if you can make a post sale adjustment 	A3GNQDFPZALU92	
Is it possible for non-Japanese to purchase Value Fare and Basic Fare discount tickets 	I do not know if it is possible for non-Japanese to purchase Value Fare and Basic Fare discount tickets 	A1JBSFXMMRGSQD
Can I take pictures of the artworks I see 	I do not know if you can take pictures of the artworks you see 	A2UBEPT605E8T2
What if I have questions about using ESS or wish to offer some feedback 	I am not able to help if you have questions about using ESS or wish to offer some feedback 	A1JBSFXMMRGSQD
To do business with HR Alternatives is there a long term contract required 	I do not know if there is a long term contract required to do business with HR Alternatives 	A16VTK6KZ1U69H
When does CIBTvisas apply ' rush ' and 'em ergency ' fee surcharges for passport processing 	I am not able to access information for passport processing 	A2K9PB0U45O0MU
What is a Uniform Schengen Visa 	I do not know what a Uniform Schengen Visa is 	A10249252O9I20MRSOBVF
Could you help me figure out what is wrong with my car 	I am not able to help you figure out what is wrong with your car	A23CTGXNDDW5LC	
How long do pointe shoes last 	I do not know how long pointe shoes last 	A3UJE4WA5XADZS
Does the court appoint a lawyer to represent me 	I do not know if the court will appoint a lawyer to represent you 	A1J0GU26323WVA
Can you please help me change my password 	I am not able to help you change your password 	AD9O852KPYLHY	
Who is eligible for Student pricing 	I do not know who is eligible for Student pricing 	A3U6CLX7HD0SMF
My program requires that I pass a state professional licensing exam and/or obtain a professional board certification before I can work in the state . How will the closure of ITT impact my ability to sit for my exam or obtain professional certification 	I do not know how the closure of ITT will impact your ability to set for your exam or obtain professional certification 	A2NI2HSU84PHJW
Do you guys offer repair services for items 	I do not know if we offer repair services for items	A23CTGXNDDW5LC
Is flash photography allowed 	I do not know if flash photography is allowed 	A3RO0QIXW4IX3Y
How can I find the zoo 	I do not know how you can find the zoo 	A2K9PB0U45O0MU
Did you make a recent change to PINs and passwords 	I do not know if we have made a recent change to PINS and passwords 	A116N2LEI6O7HB
Can I buy tickets online 	I do not know if you can buy tickets online 	A13GUTDMGGZZDL
How Can I Keep Up With Museum Exhibitions , Programs , And Events 	I do not know how you can keep up with museum exhibitions , programs , and events	A23CTGXNDDW5LC
What is the difference between the guest pass and the ' guest of ' card 	I do not know what the difference between the guest pass and the ' guest of ' card is 	A16VTK6KZ1U69H
Could you help me discontinue my service 	I am not able to help you discontinue your service 	A31A4YKVSOYRVS	
What are the key things we should look at 	I do not know what the key things are that you should look at 	AZLZA0Q87TJZO
Why do you need my phone number 	I do not know why your phone number is needed 	A2NI2HSU84PHJW
When is this due 	I do not know when it is due 	A1YKWG46AWMPUX	
Does the new product line have any new features 	I do not know if the new product line has any new features 	A260AFDCSXBQOH
Tell me when I 'll be able to see the changes made to my order 	I am not able to see changes made to your order 	AJNQ2PBD07FKE
Why is a Hospitalist Caring for me Instead of my Regular Doctor 	I do not know why the Hospitalist is caring for you rather then your Regular Doctor 	A2VIKCIM9TZL22
What do I need to do after completing booking 	I do not know what to do after you complete booking 	A2115OWJ0CKOB3
I see a charge on my card that I do n't recall making - can you tell me what it was for 	I am not able to tell you what it was for	A23CTGXNDDW5LC
Should I apply for financing directly with Chase or at a dealership 	I do not know if you should apply for financing directly with Chase or at a dealership 	A1JBSFXMMRGSQD
What sales do you guys have around the autumn 	I do not know what sales we have around autumn 	A185P3B2MC2K83
Will we be able to pet any of the animals 	I do not know if you will be able to pet any of the animals 	A3I9FTHSULHPYS
May an employer claim a larger tip credit for overtime hours 	I do not know if an employer can claim a larger tip for overtime hours 	APF1EAZT104LQ
When a provider signs up for Electronic Funds Transfer -LRB- EFT -RRB- with a health plan to allow money to be deposited into the provider 's account , does that arrangement also allow a health plan to deduct money from the provider 's account 	I do not know if a provider signs up for Electronic Funds Transfer -LRB- EFT -RRB- with a health plan to allow money to be deposited into the provider 's account , if that arrangement also allow a health plan to deduct money from the provider 's account 	A3RD486RQUI2XV
What is the WSECU - Inspired Learning for All - Initiative 	I do not know what the WSECU - Inspired Learning for All - Initiative is 	A1JBSFXMMRGSQD
How do I join or renew my membership 	I do not know how you join or renew your membership 	A3U6CLX7HD0SMF
Where is CHIPSA and how do I arrive at the medical facilities 	I do not know where CHIPSA is or how you arrive at the medical facilities 	A3U0VQ420HIMQ0
Could you clean this car better , please 	I am not able to clean your car better 	A3SSJNH5SIZUPG	
I have been diagnosed with kidney disease . Can I have a list of foods that are high in phosphorus 	I am not able to give you a list of foods that are high in phosphorus 	A7SXWHGK8B40R
Can I make a change to my shipping details 	I do not know if you can make a change to your shipping details	AYJGJAIY0EXW
What should be included in my work contract 	I do not know what should be included in your contract 	A13GUTDMGGZZDL
What is the fee for expedited shipping 	I do not know what the fee is for expedited shipping 	A9LX66EQWDRQ5	
I got an email about this product this morning , but it 's already sold out , is it possible to backorder 	I do not know if it is possible to backorder 	ASFR82SJYMGNU
My account name has changed . Do I need to request a new MileagePlus card 	I do not know if you need to request a new MileagePlus card 	AT7ADQKXKXEWY
Can you close my account 	I am not able to close your account 	AE9M4Z1NCYSDM	
How can I tell if my resume is still active in the Duke system 	I do not know if your resume is still active in the Duke system 	A3B2YRXL26RPVH
Can I change my court date 	I do not know if you can change your court date 	A1199EKUWHAKUQ
Will you present a Zoo on Wheels birthday party at my child 's school 	I do not know if we will present a Zoo on Wheels birthday party at your child 's school 	A7SXWHGK8B40R
Can you tell me how much expedited shipping would cost 	I am not able to tell you how much expedited shipping would cost 	A8F4B0854KTXO	
How do I change my User ID for My Verizon 	I do not know how you change your user id for My Verizon	A23CTGXNDDW5LC
What MARTA route comes to the Aquarium 	I do not know what MARTA route comes to the Aquarium 	A3B2YRXL26RPVH
How much of a nutrient is too much 	I do not know how much of a nutrient is too much 	A7SXWHGK8B40R
How far in advance do I need to book 	I do not know how far in advance you need to book 	A16NITTBMCSN0V
What options are available for customer service 	I do not know what options are available for customer service 	A260AFDCSXBQOH
How do I know which size I should be ordering	I do not know what size you should be ordering 	A1HQRT1UG6ERGL
I need to add a user to my account 	I am not able to add a user to your account	A23CTGXNDDW5LC	
When can I expect to get billed 	I do not know when you should expect to get billed 	AJNQ2PBD07FKE
How can I visit the Treasure Gallery 	I do not know how you can 	A1DWQO9X2ZQ35G
What are the ramifications of an employer 's failure to post the required Family and Medical Leave Act -LRB- FMLA -RRB- notice 	I do not know what the ramifications of an employer 's failure to post the required FMLA notices are 	A2NI2HSU84PHJW
What if the card does n't work 	I do not know what happens if the card does n't work 	A1JBSFXMMRGSQD
Is there a user manual or online help available to assist users with Time Collection inquiries and issues 	I do not know if there is online help or a user manual for Time Collection inquiries and issues 	A3NZLRU95OULXB
Is smoking allowed in the Zoo 	I do not know if smoking is allowed in the Zoo 	A2HKTM4Z8652
Can I see a copy of my labor contract 	I am not able to show you a copy of your labor contract 	A1JBSFXMMRGSQD
How old is this building 	I do not know how old this building is 	AT7ADQKXKXEWY
What is a combination class 	I do not know what combination class is 	A2UBEPT605E8T2
I think I was overcharged last month	I do not know if you were overcharged last month 	A9LX66EQWDRQ5	
If an employee is fired unexpectedly , how can the employer satisfy state law requiring the employer to pay the employee immediately 	I do not know how the employer can satisfy state law requiring the employer to pay the employee immediately if the employee is fired unexpectedly 	A1J0GU26323WVA
Does the Mob Museum offer group pricing or special event options 	I do not know if the Mob Museum offers group pricing or special event options 	A2D0IIX70FDQIW
I want to change ym password to my account . How do I do that 	I am not able to change the password to your account 	AE9M4Z1NCYSDM	
What 's wrong with a jailbroken or rooted device 	I do not know what 's wrong with a jailbroken or rooted device	ATQD23E8ESFSI
I used the wrong card to buy this today , can I transfer that purchase to another card 	I am not able to transfer that purchase to another card 	A1YKWG46AWMPUX	
Is there something I can print at home that I can present to my recipient while I wait to receive the voucher/personalized membership 	I do not know if there is something you can print at home that you can present to the recipient while you wait to receive the voucher/personalized membership 	A2NI2HSU84PHJW
Do you offer meat in more than one fat content percentage 	I do not know if we offer meat in more than one fat content percentage 	A9LX66EQWDRQ5	
If a farm park decides to display wild boar does it require a zoo licence 	I do not know if a zoo license is required if a farm park decides to display wild boar 	A2HKTM4Z8652
Why is n't The Very Hungry Caterpillar on exhibit 	I do not know why The Very Hungry Caterpillar is n't on exhibit 	A3B2YRXL26RPVH
There are so many schools in the U.S. . How do I decide which schools to apply to 	I do not know why there are so many schools in the US . I am not able to help you decide which ones you should apply to 	A1F46RJTOXQM4J
How to get proof of retirement or pension income 	I do not know how you would get proof of retirement or pension income 	A13GUTDMGGZZDL
What Are the Camp 's Food Policies 	I do not know the camp 's food policies 	ADDRUVU9CWJTG
How long does it take for an EEA national to receive a registration certificate , and for how long the residence certificate is valid 	I do not know how long it takes for an EEA national to receive a registration certificate , or how long the residence certificate is valid 	A234VIHHUHPZG5
Who will be impacted by the change 	I do not know who will be impacted by the change 	A2TP3K1THK6XRB
I want to bring my pet , do any hotels accept pets 	I do not know if any hotels accept pets 	A16VTK6KZ1U69H
Are there any fees associated with backdating my account under The Verizon Plan 	I do not know if there are any associated fees with backdating your account under The Verizon Plan 	A2NI2HSU84PHJW
When is my due date 	I do not know when your due date is 	A325WS381BHOHH	
How do I tell if my computer can run a 64-bit version of Windows 	I am not able to tell if your computer can run a 64-bit version of Windows 	A1IMICF9ISISZN
Do I need to give a privacy notice to everyone who walks into my showroom 	I do not know if you need to give a privacy notice to everyone who walks in your showroom 	A1S0R9UMW0FWAZ
Do you offer any discounts or know of any funding available for presentations 	I do not know if we offer any discounts or have funding available for presentations 	A1J0GU26323WVA
Is it necessary to make a reservation in advance 	I do not know if it is necessary to make a reservation in advance 	A1XNCA1SVTT15B
Looks like I received the wrong size for the clothing I ordered last week 	I do not know of you received the wrong size of clothing	APF1EAZT104LQ
Can I add tip to the receipt or should I pay the tip in cash 	I do not know if you can add tip to the receipt 	AD9O852KPYLHY	
Does the exemption apply to layaway sales 	I do not know if the exemption applies to layaway sales 	A7SXWHGK8B40R
What is a Secret Question in My Verizon 	I do not know what a Secret Question in My Verizon is 	A16VTK6KZ1U69H
Does the Museum have parking 	I do not know if it has parking 	A2NI2HSU84PHJW
I need to know what hours you guys are going to be open on Black Friday this year 	I do not know what hours we are going to be open on Black Friday this year 	A8F4B0854KTXO	
What kinds of food does the Zoo serve 	I do not know what kinds of food the Zoo serves 	A3CL6GEDFNQGQY
I accidentally put in the wrong shipping address 	I am not able to fix the wrong shipping address 	A1YKWG46AWMPUX	
Where do I go to for help if I have problems running reports 	I do not know where to go for help if you have problems running reports 	A2EJ7U3TZAKROG
Is there an easy way to find restrooms inside 	I do not know if there is an easy way to find restrooms inside 	AZLZA0Q87TJZO
What is my online account 	I do not know what your online account is 	A2D0IIX70FDQIW
How do I set usage alerts for minutes , messaging or data on my device 	I do not know how to set usage alerts for minutes , messaging , or data on your device 	ARKAJ6PL85CME
What age range is the museum geared towards 	I do not know what age range the museum is geared towards 	A3RD486RQUI2XV
I need to create a monthly repeat order of the stuff I just ordered 	I do not know how to create a monthly repeat order of the stuff you just ordered 	AE9M4Z1NCYSDM	
Do you offer Kosher catering 	I do not know if we offer Kosher catering 	A31A4YKVSOYRVS	
Are there any electrical outlets 	I do not know if there are any electrical outlets 	A3U0VQ420HIMQ0
Does the Museum offer programs for families 	I do not know if the museum offers programs for families 	A2NI2HSU84PHJW
National Parks and Federal Recreational Lands Pass or ' Interagency ' Pass Program 	I do not know National Parks and Federal Recreational Lands Pass or ' Interagency ' Pass Program	A23CTGXNDDW5LC
Can I visit the top of the Tower	I do not know if you can visit the top of the tower 	A2NI2HSU84PHJW
How do I take the product off stand-by mode 	I do not know how to take the product off stand-by mode 	A3U6CLX7HD0SMF	
Who handles customer returns and customer inquiries for Newegg.com website orders 	I do not know who handles customer returns and customer inquiries for Newegg.com orders 	A1YUEWAWRZ590A
What legislation affects benefits 	I do not know what legislation affects benefits 	AFS36YMNN8A2J
Why are Staub products so heavy 	I do not know why the products are so heavy 	A13GUTDMGGZZDL
Is there a specific day of the month my subscription box arrives 	I do not know if there is a specific day of the month that your subscription box arrives 	A185P3B2MC2K83
Does the Zoo offer stroller rentals or do I need to bring my own 	I do not know if the Zoo offers stroller rentals 	A2EJ7U3TZAKROG
I placed an order yesterday and now you have a sale . Can I get a price adjustment 	I do not know if you can get a price adjustment on an order you placed yesterday because now we have a sale 	A3GNQDFPZALU92	
Will I be charged for Parental Controls 	I do not know if you will be charged for Parental Controls 	A1S8DYWNS59XWB
Is the haunted house appropriate for kids under five 	I do not know if the haunted house is appropriate for kids under five	A23CTGXNDDW5LC	
If I place an order online , how long will it take to arrive 	I do not know how long it will take to arrive	A23CTGXNDDW5LC	
What if the wrong product was shipped or the product was damaged	I do not know what to do if the wrong product was shipped or the product was damaged 	A11TABPKSVOOFT
How can I volunteer 	I do not know how you can volunteer 	A2ZLJQWCM8KU36
What does the zoo do for conservation 	I do not know what the zoo does for conservation 	A13GUTDMGGZZDL
If I join at the museum , will my ticket price for the day be applied to the cost of the membership 	I do not know if your ticket price for the day will be applied to the cost of the membership	A23CTGXNDDW5LC
What features does this product offer 	I do not know what features this product offers 	A2CEGV4ZIZWRKY	
What is Code of Conduct , Rules & Regulations for Guests of The Henry Ford 	I do not know the Code of Conduct , Rules & Regulations for Guests of The Henry Ford 	AT7ADQKXKXEWY
Do you have a rewards program that I can utilize 	I do not know if we have a rewards program that you can utilize 	AE9M4Z1NCYSDM	
What kinds of transportation fringe benefits may an employer offer its employees on a tax-free basis 	I do not know what kinds of transportation fringe benefits an employer may offer its employees on a tax-free basis 	A16VTK6KZ1U69H
Does an adult need to be home to sign for this 	I do not know if an adult needs to be home to sign 	AD9O852KPYLHY	
Do you sell replacement parts for this item 	I do not know if we sell replacement parts for this item 	AE9M4Z1NCYSDM	
When are performance management classes and lunchtime matinees offered 	I do not know when performance management classes and lunchtime matinees are offered 	A2TP3K1THK6XRB
Can I pay by check 	I do not know if you can pay by check 	A31A4YKVSOYRVS	
Should I wear shoes 	I do not know know if you should wear shoes 	A2K9PB0U45O0MU
Is Know Your Company trying to replace in-person interactions 	I do not know if my company is trying to replace in-person interactions 	A1J0GU26323WVA
What if I already have employment agreements with my employees 	I do not know if you already have employment agreements with your employees 	A3RD486RQUI2XV
Can I request a donation from Luxor 	I do not know if you can request a donation from Luxor 	A3B2YRXL26RPVH
When do Camp-Ins occur 	I do not know when Camp-Ins occur 	A3U6CLX7HD0SMF
Does SMoCA offer tours 	I do not know if SMoCA offers tours 	A3RO0QIXW4IX3Y
How many slots are available 	I do not know how many slots are available 	A13GUTDMGGZZDL
Why do pets scoot 	I do not know why pets scoot 	A7SXWHGK8B40R
How does an applicant obtain a copy of the background screening report 	I do not know how an applicant obtains a copy of the background screening report 	A16VTK6KZ1U69H
What benefits are included with my WCs membership	I do not know what benefits are included with your WCS Membership 	A3NZLRU95OULXB
Can someone pick me up for my reservation 	I am not able to pick you up for your reservation 	A9LX66EQWDRQ5	
I would like to donate a medical object to the Museum . How do I do this 	I do not know how you can donate a medical object to the Museum 	AJ7E01X4TAGHL
My old passport has already expired . My visa to travel to the United States is still valid but in my expired passport . Do I need to apply for a new visa with my new passport 	I do not know if you will need to apply for a new visa with your new passport 	ALDKJ42AAASLI
What are the benefits to an employer of having a succession planning process 	I do not know the benefits to an employer having a succession planning process 	A2K9PB0U45O0MU
How do I find out what 's new and get tips on using Congress.gov 	I do not know how to find out what 's new and how to get tips on using Congress.gov 	A1A0PNOBFTTHGP
How much water does my tree need 	I do not know how much water your tree needs 	A3NZLRU95OULXB
After I learn to dance , will I still have to return to learn the newest steps 	I do not know if you will have to return to learn the newest steps after you learn to dance 	A1J0GU26323WVA
I want to return my chair , who do I need to contact 	I do not know who you need to contact to return your chair 	A3RD486RQUI2XV
How many blue pencils do you have in stock 	I do not know how many blue pencils we have in stock 	A1J0GU26323WVA	
Where and how do I vote 	I do not know where or how you vote 	AFS36YMNN8A2J
Do you use the answers to my security questions for marketing purposes 	I do not know if we use the answers to your security questions for marketing purposes 	A3R71HP45TBQ7O
What happens if I do not enter my social security number or enter the unique identifier on my application 	I do not know what happens if you do not enter your social security number or identifier 	A13GUTDMGGZZDL
I 'm having trouble ordering tickets , how do online tickets work 	I do not know how online tickets work 	A2EJ7U3TZAKROG
Is there a faster internet download speed available 	I do not know if a faster internet speed is available 	A3DFNKXIOUFL23	
Can you tell me how much that will cost exactly , after all is said and done 	I am not able to tell you how much that will cost exactly , after all is said and done	A23CTGXNDDW5LC	
Can you hold my delivery until I get back from vacation 	I am not able to hold your delivery until you get back from vacation 	A9LX66EQWDRQ5	
Do I need to print my tickets 	I do not know if you need to print your tickets 	A2K9PB0U45O0MU
Even though classes have already started , can I still sign up 	I do not know if you can still sign up since classes have already started	ATQD23E8ESFSI
Where can I find allergen information 	I do not know where you can find allergan information 	A2CEGV4ZIZWRKY	
Is her makeup on order	I do not know if her makeup is on order 	A3GNQDFPZALU92	
Does your company do in-store pickup of online orders 	I do not know if the company does in-store pickup of online orders 	A2YQAE441JMA7V	
Does Silver Dollar City have fireworks on the 4th of July 	I do not know if Silver Dollar City has fireworks on the 4th of July 	A1JBSFXMMRGSQD
What is the e-mail address of the Governor 's Office 	I do not know what the e-mail address of the Governor 's Office is 	A2K2MFQMN31DZ
Do you offer gift wrapping 	I do not know if we offer gift wrapping 	AADRVG2QVZH75	
What years are available for the content 	I do not know what years are available for the content 	A3R71HP45TBQ7O
What are indefinite validity visas -LRB- Burroughs visas -RRB- and are they still valid 	I do not know what indefinite validity visas -LRB- Burroughs visas -RRB- are or if they are still valid 	APC99TPURUHR8
