Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
Do I have to pay each year to renew my HEVC license like some vendors 	I do not know if you have to pay each year to renew your HEVC license 	A9LX66EQWDRQ5
How can our class best respect the animals 	I do not know how your class can best respect the animals 	A2EJ7U3TZAKROG
If I want 2018 Marketplace health coverage , when 's my enrollment deadline 	I do not know the enrollment deadline 	A2NI2HSU84PHJW
I would like to learn more about places to eat	I do not know of more places to eat 	APC99TPURUHR8
How do I sign up for direct deposit 	I do not know how you sign up for direct deposit 	A3R71HP45TBQ7O
I am a tourist visiting from Manhattan . What 's the easiest way to get to the zoo	I am not able to tell you what the easiest way to get to the zoo is 	A2I4VNAS21FXCE
What if I forget my password for My Verizon 	I do not know what you should do if you forget your password 	A13GUTDMGGZZDL
I want to cancel my policy 	I am not able to cancel your policy	A23CTGXNDDW5LC
How long is kitchen craft 's Warranty	I do not know how long Kitchen Craft 's warranty lasts 	A1JBSFXMMRGSQD
Please correct my email address 	I am not able to correct your email address 	A3GNQDFPZALU92	
Are there any of your stores in my town 	I do not know if there are any of our stores in your town	A23CTGXNDDW5LC
Where do I go if I think I am in labor 	I do not know where you go if you think you 're in labor 	A2NI2HSU84PHJW
Where does the train go , and how long is the ride 	I do not know where the train goes , nor how the long the ride is 	A3R71HP45TBQ7O
Can I use the menu app	I do not know if you can use the menu app 	A3GNQDFPZALU92	
Why can the system build such a profile , or what is the scientific foundation of it 	I do not know why the system builds such a profile or the scientific foundation of it 	A2K9PB0U45O0MU
I need to cancel a payment 	I am not able to cancel a payment 	A1YKWG46AWMPUX	
When does the free trial end 	I do not know when the free trial ends 	A325WS381BHOHH	
When I assign or sell a lease or retail installment contract to a third party lender , do I have to give an opt-out notice to my customers 	I do not know if you have to give an opt-out notice to your customers 	A2NI2HSU84PHJW
What functions will be in the new courthouse 	I do not know what functions will be in the new courthouse 	AE9M4Z1NCYSDM
Can you mail merge documents 	I do not know if you can mail merge documents 	A1JBSFXMMRGSQD
What payment types does the Van Gogh Museum online store accept 	I do not know what payment types the Van Gogh Museum online store accepts 	A2NI2HSU84PHJW
I forgot my user ID and/or password , what do I do 	I do not know what you do	A23CTGXNDDW5LC
Do you accept returned items 	I do not know if we accept returned items	A23CTGXNDDW5LC	
How do I cancel my monthly subscription service 	I do not know how to cancel your subscription 	A1HQRT1UG6ERGL
If I received an item as a gift , how should I return it	I do not know how to return a gift item 	AJKA9BKC011F2
Will you accept orders to Canada 	I am not able to accept orders to Canada 	A3RD486RQUI2XV
What can I do about hang up calls 	I do not know what you can do about hang up calls 	A1JBSFXMMRGSQD
What facilities are available for guests with disabilities 	I do not know what facilities are available for guests with disabilities 	AJ7E01X4TAGHL
Will media from this site install correctly on a device that came with an operating system pre-installed 	I do not know if media from the site will install correctly on a device that came with an operating system pre-installed 	A2TP3K1THK6XRB
When did Neil Armstrong die 	I do not know when Neil Armstrong died 	A13GUTDMGGZZDL
Can I pay directly through my bank account 	I do not know if you can pay directly through your bank account 	A325WS381BHOHH	
Can I change my coverage during the year 	I do not know if you can change your coverage 	A13GUTDMGGZZDL
What 's your refund policy 	I do not know the refund policy 	AE9M4Z1NCYSDM	
Where do harbor porpoises live 	I do not know where harbor porpoises live 	A1S8DYWNS59XWB
What is the difference between the All Item tab and the Item Shipped by Newegg tab in Item List function 	I do not know what the differences is between the all item tab and the Item Shipped tab	APF1EAZT104LQ
Do you offer discount to NHS staff , the Armed forces or local residents 	I do not know if we offer discounts to NHS staff , the Armed forces or local residents 	A2K9PB0U45O0MU
What happens if I return a pass late 	I do not know what happens if you return a pass late 	A2NI2HSU84PHJW
Can I buy a flight ticket from a self-service check-in machine at the airport 	I do not know if you can buy a flight ticket from a self-service check-in machine 	A1XNCA1SVTT15B
Are there nearby places for a quick lunch 	I do not know if there are nearby places for a quick lunch	A1GNG0J27JYSUB
What is global warming , and how is it different from climate change and climate variability 	I do not know what global warming is or how it is different from climate change 	A13GUTDMGGZZDL
Must an employee earning below the minimum salary level for determining exempt status under the Fair Labor Standards Act be converted to hourly pay 	I do not know if an employee earning below the minimum salary level for determining exempt status under the Fair Labor Standards Act be converted to hourly pay 	A3I9FTHSULHPYS
Will this order include sales tax 	I do not know if this order will include sales tax 	A31A4YKVSOYRVS	
What is included in the price of a closet 	I do not know what is included in the price of a closet 	A2TP3K1THK6XRB
I 'm having difficulty signing up . Whom can I contact 	I do not know who you can contact about your difficulty signing up 	A1IPD4WBT3A5GG
Who can I speak to about the customer service I 've received 	I do not know who you can speak to about customer service you received 	AJNQ2PBD07FKE
What is the cost for shipping the items 	I do not know what the cost for shipping the items is 	A325WS381BHOHH	
When can I use Backup Care Options 	I do not know when you can use Backup Care Options 	A2K2MFQMN31DZ
Does EDDA have any outreach programs 	I do not know if EDDA has any outreach programs 	APC99TPURUHR8
What time will my order arrive 	I do not know what time your order will arrive 	A185P3B2MC2K83
How should I clean my Staub products 	I do not know how you should clean your Staub products 	A9LX66EQWDRQ5
Why should I add a photo to my membership record 	I do not know why you should add a photo 	A13GUTDMGGZZDL
As a senior citizen -LRB- age 62 or older -RRB- , am I eligible for any discount 	I do not know if you are eligible for any discount 	A7SXWHGK8B40R
How do I search and apply for jobs 	I do not know how to search and apply for jobs 	A2K9PB0U45O0MU
Can I pick up my package at the shipping facility 	I do not know if you can pick up your package at the shipping facility 	A9LX66EQWDRQ5	
What will I/my child need for class	I do not know what you or your child need for class 	A30YFEIPGXNWJL
What does ' billing address country ' mean 	I do not know what billing address country means 	A7SXWHGK8B40R
Can a taxpayer use the head-of-household filing status if the taxpayer 's only dependent is his or her registered domestic partner 	I do not know if a taxpayer can use head-of-household filing status if the taxpayer 's only dependent is his or her registered domestic partner 	A1JBSFXMMRGSQD
What is your full postal address , so I can type this in to my SAT NAV system 	I do not know our full postal address 	A16NITTBMCSN0V
Does the museum allow artists to sketch or paint in the galleries 	I do not know if the museum allows artist to sketch or paint in the galleries 	A7SXWHGK8B40R
My order says it was delivered but I have not received it , why 	I do not know why you have not received your order 	AD9O852KPYLHY	
Is ' Prometheus ' based on a book 	I do not know if ' Prometheus ' is based on a book 	A3I9FTHSULHPYS
I paid for admission to the Zoo , can I apply the cost towards a membership 	I am not able to apply the cost of your admission toward a membership at the Zoo 	A234VIHHUHPZG5
How do I identify the model number of a slide	I am not able to identify the model number of a slide 	A2LQ9NP944M61Z
Why do some of your products contain foreign honey 	I do not know why some of our products contain foreign honey 	A3SS1F4F3JE7CU
What options are available for a payment plan 	I do not know what options are available for a payment plan 	AJQGWGESKQT4Y
What is DivX Certified Device Registration 	I do not know what the DivX Certified Device Registration is 	A2K2MFQMN31DZ
What is a TCRG	I do not know what a TCRG is 	A13GUTDMGGZZDL
What does the Museum do to support teachers 	I do not know what the museum does to support teachers 	A1X3SF2W1QQBY1
My order is wrong 	I do not know why your order is wrong 	A1YKWG46AWMPUX	
Can you help me exchange this product for another in your store 	I am not able to help you excange the product for another 	A263D0NONXWQID
Can I use my nickname instead of my legal name for travel 	I do not know if you can use your nickname instead of your legal name for travel 	A398I2WV28FA5P	
Can you tell me when my order will be shipped 	I am not able to tell you when your order will be shipped 	A3U6CLX7HD0SMF	
I noticed there is a charge for an item I did not purchase 	I do not know why there is a charge for an item that you did not purchase 	A9LX66EQWDRQ5	
Do you sell this couch in brown 	I do not know if we sell this couch in brown 	A3VV5FFG6GXE1S	
My registration renewal is due but my car is under repair and I ca n't get a smog check 	I am not able to tell you why you ca n't get a smog check 	AU3WB2DD4QJ4B
Can I get the cake made without gluten 	I do not know if you can get the cake made without gluten 	A325WS381BHOHH	
Can the local authority use the services of another local authority to undertake its zoo licensing activities 	I do not know if local authority can use services of another local authority to undertak its zoo licensing activities 	A3EJ2U51X7CLYW
What administrative fees may an employer charge for a garnishment or child support order 	I do not know what the administrative fees are	APF1EAZT104LQ
Can I schedule a maintenance appointment 	I do not know if you can schedule a maintenance appointment 	AGQPTDG6ZF3T3
How do I get to the Dakota Zoo 	I am not able to tell you how to get to the Dakota Zoo 	A116N2LEI6O7HB
What does it mean to ' give notice ' to the other party 	I do not know what it means to give notice to the other party	APF1EAZT104LQ
I will not be home for delivery . Can you re-route the package to a different address 	I do not know if we can re-route the package to a different address 	AD9O852KPYLHY	
A 10 % off coupon was supposed to be applied to my order but I just received my bill and it was not applied 	I am not able to apply a 10 % off coupon to your order 	A9LX66EQWDRQ5	
Can a hospice patient who shows signs of recovery be returned to regular medical treatment 	I do not know if a hospice patient who shows signs of recovery can be returned to regular medical treatment 	A2VIKCIM9TZL22
Are interviews required 	I do not know if interviews are required 	A1F46RJTOXQM4J
I would like some help about an item I saw on your website 	I am not able to help with an item you saw on our website 	ASFR82SJYMGNU
How do I choose a class that is right for me 	I do not know how you would choose a class that is right for you 	A2K2MFQMN31DZ
Can CIBTvisas obtain additional passport pages for my US passport 	I do not know if CIBTvisas obtains additional passport pages for your passport 	A2NI2HSU84PHJW
What if I want to visit another Arab country 	I do not know if you want to visit another arab country 	A2K9PB0U45O0MU
How do I reset my current voicemail password 	I do not know how you reset your current voicemail password 	A2HKTM4Z8652
Can I include a gift message 	I do not know if you can include a gift message 	A2LQ9NP944M61Z
Who gets to choreograph 	I do not know who gets to choreograph 	A3I9FTHSULHPYS
Will there be food options 	I do not know if there will be food options 	AQ9Y6WD8O72ZC
I have a Drug Enforcement Administration -LRB- DEA -RRB- Number . Do I need a National Provider Identifier -LRB- NPI -RRB- as well 	I do not know if you need a NPI as well 	A2NI2HSU84PHJW
What bus route services the Zoo 	I do not know which bus route services the Zoo 	A21EPR8KW0GWX2
What is wearable technology 	I do not know what wearable technology is 	A3I9FTHSULHPYS
Do current or former employees have a right to access their personnel records in order to inspect , copy or dispute the information 	I am not able to tell you if current or former employees have a right to access their personnel records 	A1A0PNOBFTTHGP
Will the Museum still be a ' curio cabinet ' 	I do not know if the Museum will still be a ' curio cabinet . '	A14M2EERU7E8KD
What is MobileIron 	I do not know what MobileIron is	ATQD23E8ESFSI
Will I be notified and reaccommodated if my flight changes or is canceled after I check in at united.com 	I do not know if you will be notified and reaccommodated if your flight changes or is canceled after you check in at united.com 	A1JBSFXMMRGSQD
What is the volunteer commitment 	I do not know what the volunteer commitment is 	ARKAJ6PL85CME
What are honey 's nutrition facts 	I do not know honey 's nutrition facts 	A10249252O9I20MRSOBVF
How do I put a rush on my claim 	I do not know how you can put a rush on your claim 	AD9O852KPYLHY	
I wo n't be able to pick up my order until tomorrow , but I scheduled it for pickup today . Can we change this 	I am not able to change your order schedule 	AKQ23WWJ57B8R	
How do we pay 	I do not know how you pay 	A2HKTM4Z8652
At what age can children visit the park without an adult 	I do not know at what age children can visit the park without an adult 	A3U0VQ420HIMQ0
Why ca n't I select ground shipping for my order 	I do not know why you ca n't select ground shipping for your order 	A2HKTM4Z8652
Can pupils under 11 years old also follow an educational programme 	I do not know if pupils under eleven years old can follow an educational programe 	A3SS1F4F3JE7CU
Can ESS be viewed by people who have left the University 	I do not know if ESS can be viewed by people who have left the University 	AFS36YMNN8A2J
What time will the delivery driver get here 	I do not know what time the delivery driver will get there 	A2CEGV4ZIZWRKY	
What is an MPOP ™ 	I do not know what an MPOP is 	AFK0MM5DQUUG5
How many people were registered as prisoners in Auschwitz 	I do not know how many people were registered as prisoners in Auschwitz 	A1A0PNOBFTTHGP
What is the International Spy Museum 	I do not know what the International Spy Museum is 	A2NI2HSU84PHJW
Will the application work if I update ZOO or Joomla 	I do not know the application will work if you update Zoo or Joomla 	A2VIN0EE9BGPSH
What is the Congressional Record 	I do not know What the Congressional Record IS	ATQD23E8ESFSI
I believe my product was lost during shipment , I want to get my money back 	I am not able to get your money back 	A185P3B2MC2K83
Do you offer refunds 	I do not know if we offer refunds 	AZLZA0Q87TJZO
Is there a fee for cancelling early 	I do not know if there is a fee for cancelling early 	A3GNQDFPZALU92	
How long may I wait if I need to speak to human 	I do not know how long you wait if you need to speak to human 	A1GAARR4GOOZCO	
What should I wear in the adult classes 	I do not know what you should wear in the adult classes 	A2K2MFQMN31DZ
Where does the film 's title come from 	I do not know where the film 's title comes from 	A9LX66EQWDRQ5
Can I get a star named after me and claim copyright to it 	I do not know if you can get a star named after you and claim copyright to it 	A1WRD2K9USCOAV
How much will I get paid 	I do not know how much you will get paid 	A2K2MFQMN31DZ
What holidays are observed at the University 	I do not know what holidays are observed at the University 	A27MJOV91GA8R3
Why do brown specks form on the base of my roasting pan 	I do not know why brown specks form on the base of a roasting pan 	A2K9PB0U45O0MU
Which membership type would best fit my situation	I do not know which membership type would best fit your situation 	A1JBSFXMMRGSQD
How can I help spread the word 	I do not know how you can help spread the word 	A11IEP7J8XSE1C
I see movies and TV shows available on my retailer 's website for purchase that are not listed as UltraViolet . Why 	I do not know why those movies are not on UltraViolet	APF1EAZT104LQ
What days are you open 	I do not know what days we are open 	AZLZA0Q87TJZO
How do I renew my membership 	I do not know how you renew your membership 	A3I9FTHSULHPYS
How are classes paid 	I do not know how classes are paid	A23CTGXNDDW5LC
Do you offer free shipping 	I do not know if we offer free shipping 	A1JBSFXMMRGSQD
How many different shipping options are there 	I do not know how many different shipping options there are 	A31A4YKVSOYRVS	
If I am not a united.com Club member and I purchase the ticket for someone who is a united.com Club member , do they get the credit 	I do not know if they get credit 	A2NI2HSU84PHJW
What if I register late 	I do not know what happens if you register late 	AFS36YMNN8A2J
I need to make a claim for a lost package 	I am not able to help you make a claim 	AMW07CJC3OJIB
How do I sell tickets for my show 	I do not know how you sell tickets for your show 	A1X3SF2W1QQBY1
Is ' Doubt ' based on a book 	I do not know if ' Doubt ' is based on a book 	AZLZA0Q87TJZO
In the Headings List , why do some headings display without icons 	I do not know in the Headings List , why do some headings display without icons 	A3SS1F4F3JE7CU
Shipping in 2 days is guaranteed but does that include delivery on a weekend day 	I do not know if that includes delivery on a weekend day 	A31A4YKVSOYRVS	
What day will my package expect to ship 	I do not know what day your package will expect to ship 	A3GNQDFPZALU92	
Can I please change my method of payment for my order 	I am not able to change your method of payment for your order	A23CTGXNDDW5LC
What are the investments in the CSRDF that Treasury can redeem 	I do not know what investments in the CSDRF Treasury can redeem 	AISE949ZZN8HA
Do I need a receipt if I received this item as a gift 	I do not know if you need a receipt if you received the item as a gift 	A31A4YKVSOYRVS	
What does the HR Consulting Audit cover and what is its value 	I do not know what the HR Consulting Audit covers or its value 	A234VIHHUHPZG5
I just placed an order online but , I need to change it . Can you help me with that 	I am not able to help you with that	A23CTGXNDDW5LC	
Will there be any delays in my package 	I do not know if there will be delays in your package 	A1NDM9R54FJMPW	
What is the best way to setup an alert on the website 	I do not know how to setup an alert on the website 	A1GAARR4GOOZCO	
Where do I have to apply to get my visa 	I do not know where you have to apply to get your visa 	A7SXWHGK8B40R
Can you send me feathers or other items from an animal 	I am not able to send you feathers or other items from an animal 	A3RD486RQUI2XV
Who can I send my complaint to 	I do not know who you can send your complaint to 	AD9O852KPYLHY	
Can you help me place an order 	I am not able to help you place an order	A23CTGXNDDW5LC
Can you ship FedEx instead of USPS 	I do not know if I can ship FedEx instead of USPS 	A2EAJXBORHT44T	
Can I bring pets along on the tour 	I do not know if you can bring pets along on the tour 	A3RO0QIXW4IX3Y
Can you tell me what the difference between this model is and your most expensive model 	I am not able to tell you what the difference is between this model and our most expensive model 	A325WS381BHOHH	
Please send me tracking information	I am not able to sen you your tracking information 	A9LX66EQWDRQ5	
Can I make a public wishlist of items I like on your website	I do not know how to create a publish wishlist 	AEXWOFM1LGS6U
When will your holiday sale begin 	I do not know when our holiday sale begins 	A9LX66EQWDRQ5	
Can I pay for my purchase with two payment sources 	I do not know if you can pay for your purchase with two payment sources 	A3SSJNH5SIZUPG	
Do All CUMASCAIGH STUDENTS PARTICIPATE IN IRISH DANCING COMPETITIONS	I do not know if all Cumascaigh students participate in Irish dancing competitions	A3EMEMWJDM5DAR
What is your most popular product 	I do not know what product is our most popular 	A3SSJNH5SIZUPG	
Is it hard to keep all of the cars running	I do not know if it is hard 	A325WS381BHOHH
Can I delete my account or profile 	I do not know if you can delete your account or profile 	A3G2FBKYCRD5Q8
Where can I find forms that may be necessary when applying 	I do not know where you can find forms that may be necessary when applying 	A3RD486RQUI2XV
What is FDAAA 	I do not know what the FDAAA is 	A2VIKCIM9TZL22
How can I place an order using my tax exempt number 	I do not know how you can place an order using your tax exempt number 	A5VBIZ2KIQ1R8
My mom said I could order this x rated movie but the site wo n't let me	I am not able to help you order that x rated movie 	A325WS381BHOHH	
What sorts of products should I use for cooking 	I do not know which products 	A1DWQO9X2ZQ35G
Where is free parking available with my zoo membership	I do not know where free parking is available with your zoo membership	A23CTGXNDDW5LC
How big is a blue whale 	I do not know how big a blue whale is 	A2NI2HSU84PHJW
Can I book an educational programme in another language 	I do not know if you can book an educational programme in another language 	A3CL6GEDFNQGQY
Can a beginning child take a trial lesson or observe before enrolling 	I do not know if a beginning child can take a trial lesson or observe before enrolling 	A3NZLRU95OULXB
What 's the difference between an interstate and an intrastate CDL 	I do not know the difference between an interstate and an intrastate CDL 	A2VIKCIM9TZL22
Within how many minutes after placing an order can I cancel 	I do not know how many minutes after placing an order you can cancel 	A1CQPRZUT6BW44
Do you offer socks at wholesale 	I do not know if we offer socks at wholesale 	A13GUTDMGGZZDL
I need to report a wreck 	I am not able to report a wreck 	A31A4YKVSOYRVS	
Where do I start	I do not know where you should start 	A13GUTDMGGZZDL
Does the AACA Museum offer wheelchairs 	I do not know if the AACA Museum offers wheelchairs 	AZLZA0Q87TJZO
I need to transfer service to my new address 	I am not able to transfer service to your new address 	A3GNQDFPZALU92	
What effect does having my premiums taken out before or after taxes have on my choice to drop coverage 	I do not know what effect it has on your choice to drop coverage 	A13GUTDMGGZZDL
Will we be able to log into Workday through the college homepage 	I do not know if you will be able to 	A1DWQO9X2ZQ35G
Where can I find information on the new Quebec parental insurance plan 	I do not know where you can find information on the new Quebec parental insurance plan 	A1R1J3GL0YP7DJ
How can I pay for admission 	I do not know how you can pay for admission 	A13GUTDMGGZZDL
How does brown sugar differ from white sugar 	I do not know how brown sugar differs from white sugar 	A9LX66EQWDRQ5
Do you know what my 3 biggest transactions were 2 months ago 	I do not know what your 3 biggest transactions were 2 months ago 	A9LX66EQWDRQ5	
How can I be sure my online application was received 	I do not know if you can be sure if your online application was received 	AU3WB2DD4QJ4B
How much do you charge if I would like to locate a vehicle 	I do not know how much we charge to locate a vehicle 	A1XNCA1SVTT15B
Have there been any changes to my contract as a result of this merger 	I do not know if the merger resulted in any changes to your contract 	A30YFEIPGXNWJL
How can I get in contact with my teacher	I do not know how can you get in contact with your teacher 	A3SS1F4F3JE7CU
Where do I download the file to 	I do not know where you download the file to 	A16VTK6KZ1U69H
Would a person , travelling with me or my group , need not to buy the 72h or 48h Roma Pass Card , could he/she enter with me without lining up 	I am not able to tell you if a person , travelling with me or my group , need not to buy the 72h or 48h Roma Pass Card , could he/she enter with me without lining up 	A355BVFIOODRH2
Is there a lost and found 	I do not know if there is a lost and found 	A16NITTBMCSN0V
Can I pay my property tax bill online 	I do not know if you can pay your property tax bill online 	AE9M4Z1NCYSDM	
Do you offer discounts or price breaks 	I do not know if discounts or price breaks are offered 	A235UQRA8GE18X
What sort of souvenirs and gifts can I find 	I do not know what sort of souvenirs and gifts you can find 	A1JBSFXMMRGSQD
Should an employer seek a refund from the IRS of overwithheld income taxes due to a prior-year wage overpayment 	I do not know is an employer should seek a refund from the IRS of overwithheld income taxes due to a prior-year wage overpayment 	A2TP3K1THK6XRB
What days of the week and hours is the museum open 	I do not know what days of the week and hours is the museum open 	A3RD486RQUI2XV
Happy HR terms and conditions 	I do not know Happy HR terms and conditions 	A1J0GU26323WVA
Must a partnership or corporation file a tax return even though it had no income for the year 	I do not know if they need to file 	A1DWQO9X2ZQ35G
Please tell me what kind of free promotions you might have going on at the moment 	I am not able to tell you what kind of free promotions we might have going on at the moment	A23CTGXNDDW5LC
I lost my insurance card and need a new one	I am not able to replace your insurance card 	AXY0D2AMLKE2A
Is there any benefit to allowing employees to use wearable technology in the workplace 	I do not know if there is any benefit to allowing employees to use wearable technology in the workplace 	A9LX66EQWDRQ5
What is a private limited company 	I do not know what a private limited company is 	A13GUTDMGGZZDL
How many discounts can I use for one order 	I do not know how many discounts you can use for one order 	A9LX66EQWDRQ5	
How can I make a complaint 	I do not know how you can make a complaint	A23CTGXNDDW5LC
Who is eligible for Medicaid 	I do not know who is eligible for Medicaid 	A2K2MFQMN31DZ
When is Jazz incorporated to a child 's curriculum 	I do not know when Jazz is incorporated into a child 's curriculum 	A2TP3K1THK6XRB
Can I copyright my domain name 	I do not know if you can copyright your domain name 	A2NI2HSU84PHJW
What if I paid for tickets but did not receive an email or could not print my tickets 	I am not able to tell you what to do if you paid for tickets but did not receive an email or could not print your tickets 	A2UBEPT605E8T2
How can I get experience as a zookeeper 	I do not know how you can get experience as a zookeeper 	A2NI2HSU84PHJW
Do I also need to wait in line if I have a Museum Card 	I do not know if you need to wait in line if you have a museum card	APF1EAZT104LQ
How often is mileage information updated 	I do not know how often the mileage information is updated 	A7SXWHGK8B40R
I need a copy of my receipt please 	I am not able to give you a copy of your receipt 	A31A4YKVSOYRVS	
My bill amount is incorrect 	I am not able to help if your bill amount is incorrect 	AE9M4Z1NCYSDM	
Is the value of meals provided to an employee on the employer 's premises for the employer 's convenience or benefit taxable income to the employee 	I do not know if the value of meals provided to an employee on the employer 's premises for the employer 's convenience or benefit taxable income to the employee 	A3I9FTHSULHPYS
Do I need to purchase an extended warranty 	I do not know if you need to purchase an extended warranty 	A13GUTDMGGZZDL
How should I submit my letters of recommendation 	I do not know how you can submit your letters of recommendation 	A1J0GU26323WVA
Can you buy tickets online 	I do not know if you can buy tickets online 	A7SXWHGK8B40R
Are n't dance classes expensive 	I do not know if dance classes are expensive 	A27MJOV91GA8R3
Do you offer an initial consultation 	I do not know if we offer an initial consultation 	A2NI2HSU84PHJW
I am interested in upgrading my membership to a higher level . How should I do this 	I do not know how you upgrade your membership to a higher level 	A3RD486RQUI2XV
Where can I park when coming for a tour 	I do not know where you can park when coming for a tour 	A7SXWHGK8B40R
How can I purchase or renew a membership 	I do not know about the membership 	A3722NOMVUK89T
Where can I find support 	I do not know where you can find support 	A1J0GU26323WVA
What is your approval requirements on a loan 	I do not know our current loan approval requirements 	A2IY2RXNZ4UEPJ
What if I do n't have access to a computer 	I do not know what you should do if you do not have access to a computer 	A2LQ9NP944M61Z
Will I be able to use my reward points for next in stotre purchase 	I do not know if you will be able to use your reward points for your next store purchase 	A31A4YKVSOYRVS	
How can I be sure that it is the same room type 	I do not know how you can be sure that it is the same room type 	A2NI2HSU84PHJW
What are the benefits of conducting an exit interview 	I do not know the benefits of conducting an exit interview 	A1J0GU26323WVA
Do you offer scholarships for citizens of my country 	I do not know if we you offer scholarships for citizens of your country 	A3RD486RQUI2XV
What time do we have to arrive for the tour 	I do not know what time you have to arrive for the tour 	A10249252O9I20MRSOBVF
Will I need to pay tax in my state 	I do not know if you will need to pay taxes in your state	AYJGJAIY0EXW
Are any of the films inside the museum for sale 	I do not know if any of the films inside the museum are for sale 	A2K2MFQMN31DZ
How can you access your student 's account 	I do not know how I can access my student 's account 	A2RHBR7XZGUI1C
Does my signature on the Performance Appraisal Form -LRB- PAF -RRB- mean that I agree with the reviewer ratings and comments 	I do not know if your signature on the Performance Appraisal Form -LRB- PAF -RRB- means that you agree with the reviewer ratings and comments 	A3RD486RQUI2XV
Can I leave the museum and come today	I do not know if you can leave the museum and come today	A23CTGXNDDW5LC
Can I have my dog be beneficiary of my insurance policy 	I am not able to make your dog the beneficiary of your insurance policy 	AE9M4Z1NCYSDM	
Are there movie sets in the Alabama Hills that can be visited 	I do not know if the movie sets in the Alabama Hills can be visited 	A2NI2HSU84PHJW
Can you alter my subscription to include more channels 	I am not able to alter your subscription to include more channels 	A1GAARR4GOOZCO	
I received an error when I tried to check out with my credit card 	I do not know why you received an error when you tried to check out with your credit card 	ASFR82SJYMGNU
Is breakfast included 	I do not know if breakfast is included 	A1AF392CLGHH0X
Where are you located on the Strip	I am not able to tell you where I am located on the strip 	A18RMWE4BKHG6R
How do I pay with a gift card 	I do not know how you pay with a gift card 	A31A4YKVSOYRVS	
Can we get inside any of the aircraft	I do not know if you can get inside any of the aircrafts 	A3SS1F4F3JE7CU
Can you cancel my subscription for next month 	I am not able to cancel your subscription for next month 	A1J0GU26323WVA	
Do you offer repair services as well	I do not know if we offer repair service	AYJGJAIY0EXW
