It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
What should I do if my package was damaged during shipment 	I do not know what you should do if your package was damaged during shipment 	A9LX66EQWDRQ5	
Can you tell me if I qualify for a discount on my service 	I do not know if you qualify for a discount on your service 	AGQPTDG6ZF3T3
How many users can I have on my account 	I do not know how many users you can have on your account 	AE9M4Z1NCYSDM	
Why wo n't bestups talk to my Best Fortress UPS 	I do not know why bestups wo n't talk to your Best Fortress UPS 	A7SXWHGK8B40R
Is my company 's data secure 	I do not know if your company 's data is secure 	A1J0GU26323WVA
There was a $ 1 charge on my bank account after I placed my order 	I do not know why there was a $ 1 charge on your bank account after you placed your order	A23CTGXNDDW5LC
Does Tune Hotels offer refunds 	I do not know if Tune Hotels offers refunds 	A7SXWHGK8B40R
Can I renew my warranty 	I am not able to renew your warranty 	AE9M4Z1NCYSDM	
How do I report medically reasonable and necessary units of service in excess of a Medically Unlikely Edit -LRB- MUE -RRB- value 	I do not know how to report medically reasonable and necessary units of service in excess of a Medically Unlikely Edit -LRB- MUE -RRB- value 	A9LX66EQWDRQ5
I need to change my insurance company information on your records 	I do not know how you change your insurance company information on our records 	ARCNENCVA0STW	
ShowWhat are the working conditions for a Zoo keeper 	I do not know the working conditions for a Zoo keeper 	A2VIKCIM9TZL22
How do I log into my phone account 	I do not know how you can log into your phone account	3YLPJ8OXX85E0D9W2ZHW4KQVP9G4X2
What if I have questions about my bill or insurance 	I do not know what to do if you have questions about your bill or insurance 	APC99TPURUHR8
I really need to change some things with my online account , can you show me how to get there 	I am not able to show you how to get there	3NOEP8XAU4U0P6VF0J9K7I1QG5BXPL
Do you have a rewards program 	I do not know if we have a rewards program 	A31A4YKVSOYRVS	
Is a registered domestic partner the stepparent of his or her partner 's child 	I do not know if a registered domestic partner is the stepparent of his or her partner 's child 	AWAW665TQQP2F
What is the difference between the debt and the deficit 	I do not know the difference between them 	A2NI2HSU84PHJW
Is there a way for me to check my credit score on your mobile app 	I do not know if you can check your credit score on our mobile app 	AD9O852KPYLHY	
Is the value of the use of a vehicle an employer provides to an employee for work-related purposes taxable income to the employee 	I do not know if the value of the use of a vehicle an employer provides to an employee for work-related purposes is taxable income to the employee 	A3L8LSM7V7KX3T
I need to change the username for my Bishop Museum account 	I am not able to change your username for your Bishop Museum account 	A1XNCA1SVTT15B
What coupons are available for my order 	I do not know what coupons are available for your order 	ASFR82SJYMGNU
Can I smoke on Zoo grounds 	I do not know if you can smoke on Zoo grounds 	A1J0GU26323WVA
Is there any way that the service fee on my account could be removed 	I do not know if the service fee can be removed 	A1F04SJJSSWA1N
May I drop off my kids at the Museum 	I do not know if you can drop off your kids at the Museum 	A3B2YRXL26RPVH
How do I learn about the art work at Benesse Art Site Naoshima 	I do not know how you learn about the art work at Benesse Art Site Naoshima 	A3I9FTHSULHPYS
What are the differences between Class A , B , and C commercial driver 's licenses 	I do not know the differences between Class A , B , and C commercial driver 's licenses 	A2NI2HSU84PHJW
Who do I contact for technical support including Hardware and Software repair service 	I do not know who you should contact for technical support including Hardware and Software repair service 	APC99TPURUHR8
I had a pickup scheduled for today , but I 'd like to get it tomorrow . Is this possible 	I am not able to change a scheduled pickup 	3MXX6RQ9EVX9R475G87FA74SNA74PE
After having booked an admission ticket online , is it possible to take part in a guided tour 	I do not know if it is possible to take part in a guided tour after having booked an admission ticket online 	A1JBSFXMMRGSQD
I would like information concerning adding quarterly pest control service to my annual termite contract with your company 	I am not able to give you information concerning adding quarterly pest control service to your annual termite contract with our company 	36D1BWBEHNTT3NV5KEWZ0ODZYR02MK
Is housing or transportation provided 	I do not know if housing or transportation is provided 	A1A0PNOBFTTHGP
What is the size pants on my order	I do not know what size pants are on your order 	AE9M4Z1NCYSDM	
Is it possible to get my package shipped to somewhere other than my home address 	I do not know if you can get your package shipped to somewhere other than your home address 	AD9O852KPYLHY	
I have received an EOB from my insurance carrier , what do I need to do 	I do not know what you need to do 	A2NI2HSU84PHJW
How long is the train ride and how much does it cost 	I do not know the duration of the train ride or its cost 	A16NITTBMCSN0V
Is there a restaurant or café at the Museum 	I do not know if there is a restaurant or café at the Museum 	AZLZA0Q87TJZO
Can you help me with a question about the health of my personal pet 	I am not able to help you with a question about the health of your personal pet 	A1JBSFXMMRGSQD
When is my order expected to ship 	I do not know when your order is expected to ship	APF1EAZT104LQ
When am I eligible to participate in the employee benefits programs 	I do not know when you are eligible to participate in the employee benefits programs 	A280TORYM293P6
Where do I pay my traffic ticket 	I do not know where you pay your traffic ticket 	A3I9FTHSULHPYS
How much of a nutrient is too much 	I do not know how much of a nutrient is too much 	A7SXWHGK8B40R
Should an employer monitor or restrict the use of Google Glass in the workplace 	I do not know if an employer should monitor or restrict the use of Google Glass in the workplace 	A7SXWHGK8B40R
Who should a supervisor contact in the Human Resources Office for advice and guidance on dealing with employee problems 	I do not know who a supervisor should contact in the Human Resources Office for advice and guidance on dealing with employee problems 	A3RD486RQUI2XV
Can I bring my dog to the park 	I do not know if you can bring your dog to the park 	A13GUTDMGGZZDL
What service options are available if this breaks 	I do not know what service options are available if this breaks 	A27CB6JIC5MZFR
What makes SureMileage so accurate 	I do not know what makes the SureMileage so accurate 	A116N2LEI6O7HB
Do you charge my card when I make a pre-order or when it ships 	I do not know if we charge your card when you make a pre-order or when it ships 	A31A4YKVSOYRVS	
Where can I go to get tested for pregnancy if i have n't seen an OBGYN in two years 	I do not know where to get tested for pregnancy 	3ULIZ0H1VAXO6VS39BFZE3S8KQW51G
Why do the client programs say Driver not connected when I try to run them 	I do not know why client programs say Driver not connected	APF1EAZT104LQ
What is an applicable large employer under the Affordable Care Act -LRB- ACA -RRB- 	I do not know what an applicable large employer under the Affordable Care Act -LRB- ACA -RRB- is 	AZLZA0Q87TJZO
I 'd like to know the major differences between these two products 	I do not know the major differences between these two products 	A31A4YKVSOYRVS	
If I find out a pair of shoes hurt my feet after wearing them for a while , can I still return them 	I do not know if you are able to return a pair of shoes you find hurt your feet after wearing them for a while 	A3SSJNH5SIZUPG	
What is the difference between an add-on and a re-buy 	I do not know what is the difference between an add-on and a re-buy 	A1IMICF9ISISZN
Can I return merchandise in the store if I ordered online 	I do not know if you can return merchandise in the store if you ordered online 	A3GNQDFPZALU92	
What is the price difference between two day and overnight shipping 	I do not know the price difference 	A1YKWG46AWMPUX	
I 'd like to get a flight to Seattle but need to see the cheapest fares available at the moment . Can you show me them 	I am not able to show you the cheapest fares available for a flight to Seattle 	3J6BHNX0U9KU2LKVLLH3DZOTKHVKNN
I was n't told that your company made a mark up on this item when I bought it 	I do not know if our company made a mark up on this item 	A1YKWG46AWMPUX	
When will we see some new products coming in 	I am not able to tell you when there will be new products	APF1EAZT104LQ
Do you charge any fees if I open an account with you 	I do not know if we charge fees if you open an account with us 	A1GAARR4GOOZCO	
How does the application process work 	I do not know how the application process works 	A1A0PNOBFTTHGP
I previously attended the University of Utah but did not graduate , how can I be readmitted 	I do not know how you can be readmitted to the University of Utah as a previous attendee who did not graduate 	A8O98QNRG9SHV
Why do I have to show a photo I.D. every time I come to the Zoo 	I do not know why you have to show a photo I.D. every time you come to the Zoo 	A1JBSFXMMRGSQD
Does the delivery driver offer change 	I do not know if the delivery driver offers change 	A2EAJXBORHT44T	
I booked a flight and I want to add one more person on same flight , could you please check the availability	I am not able to check the availability 	34D9ZRXCYRML6L3EHQL0IFV3249SAS
Can I tip my interpreter if they did a great job 	I do not know if you can tip your interpreter if they did a great job 	A3RD486RQUI2XV
How soon will I get my refund after I return an item	I do not know how soon you will get your refund after you return an item	A23CTGXNDDW5LC
Do you offer admission discounts or have any coupons available online or at any stores 	I do not know if there are discounts 	A2NI2HSU84PHJW
If I buy the item online , can I return it in store if I 'm not satisfied 	I do not know if you can return the item in store if you 're not satisfied 	A31A4YKVSOYRVS	
I just made two orders , how do I combine them for shipping 	I am not able to combine shipping for two orders 	AJNQ2PBD07FKE
Product description said 1 day shipping but I 'm not seeing that option at checkout	I am not able to help you with the 1 day shipping option at checkout 	A325WS381BHOHH	
Where do I go to return this 	I do not know where you go to return that 	A2PKDWREQV1JTR
Who uses the Intel Developer Zone 	I do not know who uses the Intel Developer Zone 	A31JM9RECQGYEX
How many people can I bring 	I do not know how many people you can bring 	A2K9PB0U45O0MU
I Do n't Have my Own Doctor . Will I be Cared for by a Hospitalist 	I do not know if you will be cared for by a Hospitalist 	A7SXWHGK8B40R
When I eat more than I need what happens to the extra calories 	I do not know what happens to the extra calories 	AFS36YMNN8A2J
My flight was just canceled and I 'm in a hurry to get to my destination . Can you show me the next cheapest flights 	I am not able to show you the next cheapest flights	36U4VBVNQO5TKFHZ862MS621N5IURI
How should an employer withhold federal income and employment taxes on supplemental wages 	I do not know how an employer should withhold federal income and employment taxes on supplemental wages 	A2K9PB0U45O0MU
Can you expedite the shipping on my order 	I am not able to expedite the shipping on your order 	A3VV5FFG6GXE1S	
What about renewal of my specialty plates 	I do not know about renewal of your specialty plates 	A2K2MFQMN31DZ
Would you be able to use eco friendly packing material 	I am not able to use eco friendly packing material 	A2YQAE441JMA7V	
What extras do I get for the premium prices charged for Deluxe Class or the Private Car 	I am not able to tell you what extras you get for the premium prices charged for Deluxe Class or the Private Car 	A18RMWE4BKHG6R
May I bring a guest in place of a Named Adult 	I do not know if you may bring a guest in place of a Named Adult 	A1AF392CLGHH0X
Do I have to file a FAFSA 	I do not know if you have to file a FAFSA 	A1S8DYWNS59XWB
What are the opening hours of the shop and restaurant 	I do not know the opening hours of the shop and restaurant 	A2115OWJ0CKOB3
I missed a class in-between , Am I still able to take the next/following class 	I do not know if you 're able to take the next class 	A2K2MFQMN31DZ
I want to know if you guy do home delivery and I much my order has to be for free delivery	I do not know if you guys do home delivery and how much my order has to be for free delivery	3X878VYTIEAUJE0U439H1PAYC6A7FY
I purchased a rental property last year . What closing costs can I deduct 	I do not know what closing costs you can deduct 	A2VFX3J4B1I22X
Why should I purchase an enameled cast iron product from Staub 	I do not know why you should purchase an enameled cast iron product from Staub 	A11IEP7J8XSE1C
Do you offer refunds 	I do not know if we offer refunds 	AZLZA0Q87TJZO
A product that I wanted to buy has been out of stock for several weeks now . Can I find out if and when it will be back in stock 	I do not know when the product will be back in stock 	3ZTE0JGGCEKU188JUN0I45BQ5ISCOI
HOW BIG IS THE BUILDING	I do not know how big the building is 	A234VIHHUHPZG5
Where can I find information on store hours	I do not know where you can find information on store hours 	A1JBSFXMMRGSQD
Where do Dau Students Perform	I do not know where DAU students perform 	A2HKTM4Z8652
Is it possible to book spa treatments online 	I do not know if it is possible to book spa treatments online 	A1JBSFXMMRGSQD
Do you offer assembly of the pool table 	I do not know if we offer assembly of the pool table 	A3GNQDFPZALU92	
Which lnternet browsers can be used to log into Workday 	I do not know which internet browsers can be used to log into Workday 	A2NI2HSU84PHJW
Can you email me more information 	I am not able to email you more information 	A185P3B2MC2K83
What if I do n't like the Zoo College course 	I do not know what happens if you do n't like the Zoo College course 	A2K2MFQMN31DZ
Do employers have to provide a lactation space even if they do n't have any nursing mother employees 	I do not know if they have to provide a lactation space 	A2NI2HSU84PHJW
What new products are you going to be selling soon 	I do not know what new products we will be selling soon 	A211IP73OBSU2D
Is there a grace period after the payment due date 	I do not know if there is a grace period after the payment due date 	A8F4B0854KTXO	
How do I get a divorce in Las Vegas 	I do not know how to divorce in Las Vegas	A1GNG0J27JYSUB
Can you place decorations over the digital printing 	I do not know if we can place decorations over the digital printing 	A325WS381BHOHH	
Will anyone else see that fax when it comes through or just me 	I do not know if anyone else will see that fax when it comes through 	A325WS381BHOHH	
Are interviews required 	I do not know if interviews are required 	A1F46RJTOXQM4J
How can I access my own account at home 	I do not know how you can access your own account at home	A23CTGXNDDW5LC
How do I cancel my Hulu trial ? I 've decided it 's not for me 	I do not know how to cancel your Hulu trial 	A31A4YKVSOYRVS	
What is the best way to setup an alert on the website 	I do not know how to setup an alert on the website 	A1GAARR4GOOZCO	
I ca n't find my payment summary -LRB- group certificate -RRB- . How do I get a copy of this 	I do not know how you get a copy of your payment summary -LRB- group certificate -RRB- 	A1X3SF2W1QQBY1
Is St Katherine 's a Church 	I do not know if St. Katherine 's is a church 	A2NI2HSU84PHJW
What is cites	I do not know what cites is 	A13GUTDMGGZZDL
How long does it take to process 	I do not know how long it takes to process 	AYJGJAIY0EXW
It says my last payment was late but I paid it on time 	I am not able to tell you why it says your last payment is late 	A31A4YKVSOYRVS	
Is it Ok to skip one monthly payment 	I do not know if it is OK to skip one monthly payment 	A2YQAE441JMA7V	
Why did I only receive one card in the mail 	I do not know why you only received one card in the mail 	A1JBSFXMMRGSQD
Does the museum offer discounted membership rates for students or seniors 	I do not know if the museum offers discounted membership rates for students or seniors 	ARKAJ6PL85CME
Do you offer classes for adults 	I do not know if we offer classes for adults 	A3SS1F4F3JE7CU
Who is Corban OneSource , I have never heard of them 	I do not know who Corban OneSource is 	A3U6CLX7HD0SMF
Is there an easy way to find restrooms inside 	I do not know if there is an easy way to find restrooms inside 	AZLZA0Q87TJZO
If I have any last minute changes , what are my options to change my purchase without incurring penalties 	I do not know what your options are to change your purchase without incurring penalties	3Y40HMYLL1ADHB3BH58EHOOPOM3XUH
Why must an affirmative action employer keep good track of applicant flow for job openings 	I do not know why an affirmative action employer must keep good track of applicant flow for job openings 	AZLZA0Q87TJZO
If we book a Vatican tour rather than just entrance tickets , will we avoid any lines , such as getting in the Sistine Chapel 	I do not know if you will avoid any lines 	A1XNCA1SVTT15B
Who is eligible for Medicaid 	I do not know who is eligible for Medicaid 	A2K2MFQMN31DZ
Where do I pick up my train/carrousel tickets 	I do not know where you pick up your train/carrousel tickets 	A1A0PNOBFTTHGP
Can I read the new policies now 	I am not able to let you read the new policies now 	AE9M4Z1NCYSDM
Do I have to pay the application fee 	I do not know if you have to pay an application fee 	A2TP3K1THK6XRB
How do I report interest income on an installment sale 	I do not know how you report interest income 	A13GUTDMGGZZDL
Hello , im looking to get more information on the differences between a few of your product lines 	I do not know the differences between a few of our product lines 	ASFR82SJYMGNU
How many people work at Beiersdorf 	I do not know how many people work at Beiersdorf 	A8O98QNRG9SHV
What will my organization gain by hiring RTR CONSULTING -- The Human Resources Experts	I do not know what your organization will gain by hiring RTR CONSULTING -- The Human Resources Experts 	A3CL6GEDFNQGQY
Who do I contact to receive a price adjustment 	I do not know who to contact to receive a price adjustment 	ASFR82SJYMGNU
My license , permit or ID did not arrive in the mail 	I do not know my license , permit , or ID did not arrive in the mail 	A3SS1F4F3JE7CU
My purchase said it was shipped but I ca n't find the tracking number	I am not able to find the tracking number 	A31A4YKVSOYRVS	
What is the time window for returning an item 	I do not know what the time window is for returning an item 	A2YQAE441JMA7V	
Is my passport valid for France 	I do not know if your passport is valid for France 	A2D0IIX70FDQIW
Does pharmacy is open on coming holiday and if yes then for how long 	I do not know if the pharmacy is open during the coming holiday or for how long 	3M0556243SCJMZSHKAQ6XMWOCLENFO
Once I am hired at Auburn University , what kinds of promotional opportunities are there 	I do not know what kind of promotional opportunities are at Auburn University once you are hired 	A2VIKCIM9TZL22
How can I find out more about the CINEPOLIS REWARDS Program	I do not know how you can find out more about the Cinepolis Rewards Program	AEB42Q2Z31GN
Can I cancel my order 	I am not able to cancel your order 	A8F4B0854KTXO	
When will I receive my race certificate	I do not know when you will receive your race certificate 	A8O98QNRG9SHV
Do you offer a tracking number with standard shipping 	I do not know if we offer a tracking number with standard shipping 	A9LX66EQWDRQ5	
How far ahead of time do I have to order a custom cake 	I do not know how far ahead of time you have to order a custom cake 	A3GNQDFPZALU92	
How long does it take to get through the Museum 	I do not know how long it takes to get through the museum 	A3U6CLX7HD0SMF
Is the museum 's permanent art collection searchable online 	I do not know if the museum 's permanent art collection is searchable online 	A3B2YRXL26RPVH
What are the ' extras ' required for the year-end show 	I do not know what extras are required for the year-end show	A1CMT9MVUO52VP
Will I require to pay anything when I arrive at the hospital 	I do not know if you will be required to pay anything when you arrive at the hospital 	A2NI2HSU84PHJW
Are dogs allowed in 	I do not know if dogs are allowed	ATQD23E8ESFSI
What can my employer see on my phone/tablet when MobileIron is installed 	I do not know what your employer can see on your phone/tablet when MobileIron is installed 	A1J0GU26323WVA
Will you please tell me the status of my order 	I am not able to tell you the status of your order 	A9LX66EQWDRQ5	
How can I enable teachers to export a book to IMS content package 	I do not know how to enable teachers to export a book to IMS content package 	A3U6CLX7HD0SMF
If a new hire quits soon after he/she is eligible for the health care plan , is that employee -LRB- and dependents -RRB- eligible for COBRA even though the employee has not paid any premium yet 	I do not know if the new hire is eligible for COBRA if he or she quits soon after he or she is eligible for the health care plan and has not paid any premium yet 	A3UJE4WA5XADZS
Why would the laws of Maryland apply to disputes with this program 	I do not know why they would apply 	A1DWQO9X2ZQ35G
Do you offer gift wrapping 	I do not know if we offer gift wrapping 	A1OPGPTQJ48XOY	
What 's the difference between TurboTax Online and TurboTax CD/Download 	I do not know what the difference is between TurboTax Online and TurboTax CD/Download 	A2ZBJWQ9ZZHYYI
Where do I file a civil case 	I am not able to give you specific details about civil cases 	A1YCGICA8XCNBH
How do I enroll in or make changes to my life insurance coverage 	I do not know how you enroll in or make changes to your life insurance coverage 	A1X3SF2W1QQBY1
Do you have any new offers 	I do not know if we have any new offers 	A3SSJNH5SIZUPG	
What is the International Spy Museum 	I do not know what the International Spy Museum is 	A2NI2HSU84PHJW
How are refunds typically handled if something goes wrong 	I do not know how refunds are typically handled if something goes wrong 	A3RD486RQUI2XV
How long does it take to receive a permanent membership card and my membership materials after I send in payment 	I do not know how long it takes to receive a permanent membership card and your membership materials after you send in payment 	A2K9PB0U45O0MU
How long does shipping take on average 	I am not able to tell how long shipping takes on average 	A31A4YKVSOYRVS	
I booked a flight for me but I wo n't be able to fly that day , I was wondering if I could cancel the flight and get a refund 	I am not able to cancel the flight or issue a refund 	3Y7LTZE0YTE2M63QINWZE940WM1UZB
Who can I reach out to about bulk orders 	I do not know who you can reach out to about bulk orders	A23CTGXNDDW5LC
I have a current IT support company , but I am unhappy with their service . How can I transition to another IT service provider if my existing support is unwilling to cooperate during the switch 	I do not know how you can transition to another IT service provider if your existing support is unwilling to cooperate 	A8O98QNRG9SHV
What types of visas allow for exemption from FICA 	I do not know what types of visas allow for exemption from FICA 	A1J0GU26323WVA
Do you send free gifts with the fist item purcheses 	I do not know if we send free gifts with the fist item purcheses	A23CTGXNDDW5LC	
How can I conduct an internal only recruitment 	I do not know how you can conduct an internal only recruitment 	A234VIHHUHPZG5
Will I receive the same benefits at reciprocal museums as I do at the Georgia O'Keeffe Museum 	I do not know if you will receive the same benefits 	A13GUTDMGGZZDL
How much will it cost to ship my order via express mail 	I do not know how much it will cost to ship your order via express mail	A23CTGXNDDW5LC
My latest order arrived but the invoice still is n't available online 	I do not know why the invoice is n't available online 	A31A4YKVSOYRVS	
Does store credit ever expire	I do not know if store credit ever expire 	A1QX1RYLCFXZJ9
When may I visit and how long may I stay 	I do not know when you may visit or how long you may stay 	A2K2MFQMN31DZ
Will there be a rain date for the festival 	I do not know if there will be a rain date for the festival 	ARCNENCVA0STW	
What is a deductible/co pay/coinsurance , etc. . 	I do not know what deductible/co pay/co insurance is 	A2LQ9NP944M61Z
Be Prepared for Changing Weather	I am not able to be prepared for changing weather 	A3EJ2U51X7CLYW
I believe my product was lost during shipment , I want to get my money back 	I am not able to get your money back 	A185P3B2MC2K83
How is the Roosevelt Library different from the Home of FDR 	I do not know the differences between the Roosevelt Library and the Home of FDR 	A2VIKCIM9TZL22
I am having terrible reception on my phone . It keeps dropping calls . Is there something I can do to prevent this from happening 	I do not know how to prevent your call from dropping 	36KM3FWE3R43MAL41LQWYINU64L70U
What kind of fabric do you offer for outdoor cushions 	I do not know what kind of fabric we offer for outdoor cushions 	A31A4YKVSOYRVS	
Where can I find nutritional facts for your menu items 	I do not know where you can find nutritional facts for our menu items 	A1YKWG46AWMPUX	
Does BAMPFA rent its facilities for private events 	I do not know if BAMPFA rents its facilities for private events 	A2LQ9NP944M61Z
Is photography permitted inside the Museum 	I do not know if photography is permitted inside the Museum 	A2VIKCIM9TZL22
How many vehicles are on display 	I do not know how many vehicles are on display 	A2HKTM4Z8652
Where is my account number located for future refrences 	I do not know where your account number is located	A23CTGXNDDW5LC
What happens if I apply more than once 	I do not know what happens if you apply more than once 	A13GUTDMGGZZDL
Why does Wag Hotels require the Bordetella vaccination to be administered 7 days prior to arrival to check-in if it has expired or has never been administered 	I do not know why Wag Hotels requires the Bordetella vaccination to be administered 7 days prior to arrival to check-in if it has expired or has never been administrated 	APC99TPURUHR8
Did you make a recent change to PINs and passwords 	I do not know if we have made a recent change to PINS and passwords 	A116N2LEI6O7HB
Can I take my school group to the Israel Asper Tower of Hope 	I do not know if you can take your school group to the Israel Asper Tower of Hope 	A2HKTM4Z8652
Can you check if the price of this item has stayed consistent over 5 years 	I am not able to check if the price has stayed consistent over 5 years 	A31A4YKVSOYRVS	
I reserved a flight by phone , but can I pay for it online with a credit card 	I do not know if you can pay online with a credit card for you flight you reserved by phone 	A2UBEPT605E8T2
Are motorized wheel chairs available for rent 	I do not know if motorized wheel chairs are available for rent 	A1JBSFXMMRGSQD
Do we still have affirmative action goals 	I do not know if you still have affirmative action goals 	A325WS381BHOHH
How long are your recitals 	I do not know how long our recitals are 	A2VIKCIM9TZL22
Is there any way to exchange the sweater I bought for a different size 	I do not know if there is any way to exchange the sweater you bought for a different size	3GITHABACYDZL5G5WFBZD32Z3HA2NK
Can I buy tickets online 	I do not know if you can buy tickets online 	A13GUTDMGGZZDL
What does it mean when the package is still in transit ? Should n't have I gotten it by now 	I do not know if you should have gotten it by now 	3VO4XFFP15ERA3Q3IJKBDOECJ8IQ7A
Can you help me recover my username for this site 	I am not able to help you recover your username for this site 	A31A4YKVSOYRVS	
Your website is not letting me log in	I do not know why our website is not letting you log in	A23CTGXNDDW5LC
Is the pathway easily accessible for least fit people and Seniors	I do not know if the pathway is easily accessible for least fit people and seniors 	A2K9PB0U45O0MU
Is the ECOMUSEUM ZOO WHEELCHAIR accessible	I do not know if the ecomuseum zoo is wheelchair accessible 	APC99TPURUHR8
Do All CUMASCAIGH STUDENTS PARTICIPATE IN IRISH DANCING COMPETITIONS	I do not know if all Cumascaigh students participate in Irish dancing competitions	A3EMEMWJDM5DAR
Do you hire out buggies/pushchairs 	I do not know if we hire out buggies/pushchairs 	A2VIKCIM9TZL22
How do I go about changing my contact address 	I do not know how to change your contact address 	A3RD486RQUI2XV
Where can I eat on campus 	I do not know where you can eat on campus 	A1YUEWAWRZ590A
What steps do I need to take in order to get a refund on a defective product that no longer works 	I do not know what steps you need to take in order to get a refund on a defective product that no longer works	3T8DUCXY0NY8G26OEKCQWPG5Y569TK
I 'm having trouble setting up the device I purchased from your store today 	I am not able to set up the device you purchased 	A325WS381BHOHH	
Is it possible to include a gift message with the gift I have purchased 	I am not able to tell you if it is possible to include a gift message with the gift you have purchased	AYJGJAIY0EXW
Do you have a music streaming package for businesses 	I do not know if we have a music streaming package for businesses 	A1YKWG46AWMPUX	
Does the museum allow artists to sketch or paint in the galleries 	I do not know if the museum allows artist to sketch or paint in the galleries 	A7SXWHGK8B40R
Since you 're a UK based company , do you ship to the US 	I do not know if we ship to the US 	A31A4YKVSOYRVS	
What if I need help with speedy check-in 	I am not able to help with speedy check-in 	A3G2FBKYCRD5Q8
How many military personnel and/or family members are allowed in free per visit 	I do not know how many military personnel and/or family members are allowed in free per visit 	A3RD486RQUI2XV
When do I get the pass 	I do not know when you get the pass 	AZLZA0Q87TJZO
I already placed an order but I forgot to choose the expedited shipping option , and I really need my order before next week . How do I change my shipping and payment 	I do not know how you change the shipping and payment 	391FPZIE4CEGVL3WC1QSE20V0WKUHL
How do I open a business checking account 	I do not know how you open a business checking account 	A1YKWG46AWMPUX	
I do n't think my life insurance policy is as comprehensive as I 'd like . Is there any way we could meet to go over some different plan options 	I am not able to access information for different plans 	3XU9MCX6VO4K038XPMSGMN794EZ2R8
I am an artist and would like to exhibit my art in the Museum . What should I do 	I do not know what you need to do if you are an artist that would like to exhibit your art in the museum 	A3RD486RQUI2XV
Do you accept returned items 	I do not know if we accept returned items	A23CTGXNDDW5LC	
Can you please tell me how much my current balance is 	I am not able to tell you how much your current balance is	A23CTGXNDDW5LC
Are all of your used cars inspected 	I do not know if they are inspected or not 	A13GUTDMGGZZDL
Do I need to attend traffic school if I get a speeding ticket 	I do not know if you need to attend traffic school if you get a speeding ticket 	A3G2FBKYCRD5Q8
Do you have a way to track my package 	I am not able to track your package 	A1JBSFXMMRGSQD
Can I sign up for periodic promotional emails	I do not know if you can sign up for periodic promotional emails	A23CTGXNDDW5LC
My order was lost in transit I am afraid . Can you ship the replacement as soon as possible 	I am not able to ship a replacement 	3FCO4VKOZ452D00Y9SPBJ7PY05V7EG
